date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,usdt_vol,log returns,volatility
2023-05-10,27628.28,28331.42,26777.0,27598.75,71155.11355,1683763199999,1971173412.43550200,1534579,34398.83676000,953153016.50961890,0,1963792190.0880623,-0.0010690420309256154,0.11992388534060724
2023-05-11,27598.74,27630.14,26702.05,26968.62,47635.31365,1683849599999,1295799109.01100400,1257000,23270.11723000,632925807.49257740,0,1284658672.4076629,-0.023096513964306453,0.11958487566039908
2023-05-12,26968.61,27091.12,25811.46,26795.01,67207.93494,1683935999999,1777052127.73109300,1351633,33147.27251000,876487224.25504230,0,1800837288.7966495,-0.006458291727408749,0.11942396067747725
2023-05-13,26795.01,27045.45,26692.03,26775.28,22814.90421,1684022399999,612062852.08668820,605049,10959.29947000,294038915.03262630,0,610875448.3959287,-0.0007366023552286549,0.11771548391865265
2023-05-14,26775.27,27200.0,26560.53,26917.62,21594.8036,1684108799999,580801698.00026930,629537,10672.14983000,287060095.33152760,0,581280717.2794319,0.0053020169686401886,0.11787982227284399
2023-05-15,26917.61,27663.59,26726.0,27162.14,40430.08333,1684195199999,1104633264.13157390,935914,19301.24631000,527237637.33101340,0,1098167583.6211262,0.009043001164108944,0.1185970669630721
2023-05-16,27162.15,27296.89,26852.11,27033.84,33270.45451,1684281599999,900273404.60103310,815642,15970.99932000,432214355.05613440,0,899428143.9506185,-0.004734677357133066,0.11853038536434607
2023-05-17,27033.85,27500.0,26544.71,27405.61,42958.97785,1684367999999,1159714527.63526350,1016823,21634.02212000,584185553.79130670,0,1177316992.9557385,0.013658322391183475,0.11674901285885508
2023-05-18,27405.62,27485.33,26361.2,26821.28,49198.65143,1684454399999,1330745572.69463720,1057318,23659.89374000,640128055.90684370,0,1319570805.6264303,-0.021552134669640566,0.11272628612808423
2023-05-19,26821.28,27183.6,26630.0,26880.26,28754.13544,1684540799999,772864757.16330480,756295,13622.24812000,366169697.38708070,0,772918636.7024143,0.0021965859345858263,0.10060705900627319
2023-05-20,26880.26,27150.0,26825.11,27102.43,14434.54718,1684627199999,389225653.74516690,481382,6769.94368000,182562924.63416340,0,391211304.5276474,0.008231203535192577,0.09953512861874074
