date,open,high,low,close,volume,log_ret_close,log_ret_vol,volatility,rsi,macd,bollinger_bands,atr
2025-07-24,3628.29,3771.0,3502.85,3706.94,749459.495,0.021445275536585484,-0.06558365484708162,0.8961000550704551,78.17225084129748,46.03948045140555,0.8014163062468391,172.63500920652137
2025-07-25,3706.95,3747.0,3573.76,3724.96,764606.7261,0.004849375076046769,0.02000934472371796,0.9506837579542705,78.56638982806744,34.396283951214514,0.785266051042369,172.67822283462698
2025-07-26,3724.97,3793.0,3697.66,3741.1,407259.7024,0.004323572310550361,-0.6299105467259007,0.54501906992496,78.93330882486941,23.865950613972302,0.7704076205726026,167.15406406072506
2025-07-27,3741.11,3879.82,3731.0,3872.1,457352.4605,0.03441730969773005,0.11600327060890159,0.6090905496937973,81.67528978019347,21.860857358675503,0.8261645490622155,165.84448805638755
2025-07-28,3872.11,3941.0,3754.0,3799.0,620994.7463,-0.019059121321625128,0.3058682798393981,0.8942272627333574,75.75035540185448,12.229319225995425,0.7609902528915092,167.35559605235989
2025-07-29,3799.0,3886.44,3716.04,3793.79,584210.4393,-0.0013723547780699619,-0.061061362645251194,0.8756789304323407,75.33091416232085,2.6272824415668197,0.7381467121489824,167.5730534771913
2025-07-30,3793.79,3834.03,3677.65,3810.0,525424.9003,0.004263669711191298,-0.10605399002572469,0.8389266329830147,75.7802652637486,-5.091922583615144,0.7285411922080669,166.77354965739192
2025-07-31,3810.0,3878.67,3684.33,3698.39,516088.4503,-0.02973159932233216,-0.017929103060588147,0.8791306806392933,66.76302690940383,-19.37191992342821,0.6218933684269242,168.7425818247211
2025-08-01,3698.39,3724.02,3431.75,3488.2,783869.1517,-0.05851174596384645,0.41796394197777786,1.4156792176841873,53.78346986736511,-43.262506500356835,0.40990545245833626,177.56596883724103
2025-08-02,3488.21,3537.69,3368.29,3393.94,494195.7094,-0.02739435545240454,-0.46131049647283007,0.8881110336583912,49.167120239558756,-64.42745442757015,0.2671022477049759,176.98268534886668
2025-08-03,3393.94,3521.79,3354.28,3496.74,296347.6758,0.029839617474776148,-0.5113982661570713,0.5209349466409359,53.822261835226776,-70.05177127689001,0.3204422206486564,176.30606496680477
2025-08-04,3496.75,3736.73,3490.73,3720.99,463349.9861,0.06215865603646087,0.4469493325841878,0.8488193261762831,61.99787112524206,-57.73036822824645,0.6125922148708742,181.28420318346159
2025-08-05,3720.99,3722.24,3546.0,3612.0,489070.9589,-0.029728126356525664,0.054024911138570886,0.9344914706641756,56.73993628654976,-55.9418630256435,0.39027727251628846,180.92390295607146
